2026-01-31 13:09:09.658 | WARNING  | exchanges.backpack:__init__:79 - bpx SDK not installed, REST API unavailable
2026-01-31 13:09:10.521 | INFO     | exchanges.backpack:subscribe_bbo:114 - Connecting to Backpack BBO WebSocket for BTC_USDC_PERP...
2026-01-31 13:09:10.523 | INFO     | exchanges.backpack:subscribe_order_updates:186 - Connecting to Backpack Order WebSocket for BTC_USDC_PERP...
2026-01-31 13:09:11.103 | INFO     | exchanges.backpack:subscribe_order_updates:205 - Subscribed to order updates for BTC_USDC_PERP
2026-01-31 13:09:11.109 | INFO     | exchanges.backpack:subscribe_bbo:124 - Subscribed to depth.BTC_USDC_PERP
2026-01-31 13:15:48.704 | WARNING  | exchanges.backpack:__init__:79 - bpx SDK not installed, REST API unavailable
2026-01-31 13:15:52.421 | INFO     | exchanges.backpack:subscribe_bbo:114 - Connecting to Backpack bookTicker WebSocket for BTC_USDC_PERP...
2026-01-31 13:15:52.430 | INFO     | exchanges.backpack:subscribe_order_updates:191 - Connecting to Backpack Order WebSocket for BTC_USDC_PERP...
2026-01-31 13:15:53.323 | INFO     | exchanges.backpack:subscribe_order_updates:210 - Subscribed to order updates for BTC_USDC_PERP
2026-01-31 13:15:53.423 | INFO     | exchanges.backpack:subscribe_bbo:124 - Subscribed to bookTicker.BTC_USDC_PERP
2026-01-31 13:39:05.521 | INFO     | exchanges.backpack:subscribe_bbo:114 - Connecting to Backpack bookTicker WebSocket for BTC_USDC_PERP...
2026-01-31 13:39:05.525 | INFO     | exchanges.backpack:subscribe_order_updates:191 - Connecting to Backpack Order WebSocket for BTC_USDC_PERP...
2026-01-31 13:39:06.216 | INFO     | exchanges.backpack:subscribe_bbo:124 - Subscribed to bookTicker.BTC_USDC_PERP
2026-01-31 13:39:06.223 | INFO     | exchanges.backpack:subscribe_order_updates:210 - Subscribed to order updates for BTC_USDC_PERP
2026-01-31 13:45:46.055 | INFO     | exchanges.backpack:subscribe_bbo:114 - Connecting to Backpack bookTicker WebSocket for BTC_USDC_PERP...
2026-01-31 13:45:46.077 | INFO     | exchanges.backpack:subscribe_order_updates:191 - Connecting to Backpack Order WebSocket for BTC_USDC_PERP...
2026-01-31 13:45:46.663 | INFO     | exchanges.backpack:subscribe_order_updates:210 - Subscribed to order updates for BTC_USDC_PERP
2026-01-31 13:45:46.664 | INFO     | exchanges.backpack:subscribe_bbo:124 - Subscribed to bookTicker.BTC_USDC_PERP
2026-01-31 13:48:50.439 | INFO     | exchanges.backpack:subscribe_bbo:114 - Connecting to Backpack bookTicker WebSocket for BTC_USDC_PERP...
2026-01-31 13:48:50.459 | INFO     | exchanges.backpack:subscribe_order_updates:191 - Connecting to Backpack Order WebSocket for BTC_USDC_PERP...
2026-01-31 13:48:51.100 | INFO     | exchanges.backpack:subscribe_order_updates:210 - Subscribed to order updates for BTC_USDC_PERP
2026-01-31 13:48:51.101 | INFO     | exchanges.backpack:subscribe_bbo:124 - Subscribed to bookTicker.BTC_USDC_PERP
2026-01-31 13:53:18.630 | INFO     | exchanges.backpack:subscribe_bbo:114 - Connecting to Backpack bookTicker WebSocket for BTC_USDC_PERP...
2026-01-31 13:53:18.663 | INFO     | exchanges.backpack:subscribe_order_updates:191 - Connecting to Backpack Order WebSocket for BTC_USDC_PERP...
2026-01-31 13:53:19.408 | INFO     | exchanges.backpack:subscribe_bbo:124 - Subscribed to bookTicker.BTC_USDC_PERP
2026-01-31 13:53:19.427 | INFO     | exchanges.backpack:subscribe_order_updates:210 - Subscribed to order updates for BTC_USDC_PERP
2026-01-31 13:54:36.011 | INFO     | exchanges.backpack:subscribe_bbo:114 - Connecting to Backpack bookTicker WebSocket for BTC_USDC_PERP...
2026-01-31 13:54:36.015 | INFO     | exchanges.backpack:subscribe_order_updates:191 - Connecting to Backpack Order WebSocket for BTC_USDC_PERP...
2026-01-31 13:54:36.744 | INFO     | exchanges.backpack:subscribe_order_updates:210 - Subscribed to order updates for BTC_USDC_PERP
2026-01-31 13:54:36.746 | INFO     | exchanges.backpack:subscribe_bbo:124 - Subscribed to bookTicker.BTC_USDC_PERP
2026-01-31 13:57:38.010 | INFO     | exchanges.backpack:subscribe_bbo:114 - Connecting to Backpack bookTicker WebSocket for BTC_USDC_PERP...
2026-01-31 13:57:38.019 | INFO     | exchanges.backpack:subscribe_order_updates:191 - Connecting to Backpack Order WebSocket for BTC_USDC_PERP...
2026-01-31 13:57:38.662 | INFO     | exchanges.backpack:subscribe_bbo:124 - Subscribed to bookTicker.BTC_USDC_PERP
2026-01-31 13:57:38.665 | INFO     | exchanges.backpack:subscribe_order_updates:210 - Subscribed to order updates for BTC_USDC_PERP
2026-01-31 13:59:27.067 | INFO     | exchanges.backpack:subscribe_bbo:114 - Connecting to Backpack bookTicker WebSocket for BTC_USDC_PERP...
2026-01-31 13:59:27.070 | INFO     | exchanges.backpack:subscribe_order_updates:191 - Connecting to Backpack Order WebSocket for BTC_USDC_PERP...
2026-01-31 13:59:27.602 | INFO     | exchanges.backpack:subscribe_order_updates:210 - Subscribed to order updates for BTC_USDC_PERP
2026-01-31 13:59:27.608 | INFO     | exchanges.backpack:subscribe_bbo:124 - Subscribed to bookTicker.BTC_USDC_PERP
